antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['Experience_Category_Mid'],['Salary_Category_Medium'],0.2630248833592535,0.3306765163297045,0.17884914463452567,0.6799704360679971,2.056300954223267,1.0,0.09187299249726086,2.0914426637549886,0.6970247038179671,0.4311152764761013,0.5218611452610448,0.6104143773520467
"['Experience_Category_Mid', 'Country_Canada']",['Salary_Category_Medium'],0.048989113530326596,0.3306765163297045,0.03324261275272162,0.6785714285714286,2.0520702108003697,1.0,0.017043063352432827,2.082339726974253,0.5390971295778284,0.09595959595959597,0.5197709638604208,0.3895502645502646
"['Country_USA', 'Experience_Category_Senior']",['Salary_Category_High'],0.05112752721617418,0.3318429237947123,0.034797822706065316,0.6806083650190113,2.0509955651188014,1.0,0.01783151458825635,2.0919679885951266,0.5400429667425509,0.09994416527079841,0.5219812131678191,0.3927353482974377
"['Experience_Category_Junior', 'Country_Canada']",['Salary_Category_Low'],0.04451788491446345,0.33748055987558323,0.030132192846034214,0.6768558951965066,2.005614472863381,1.0,0.015108272120624308,2.0502290782228574,0.5247609359104781,0.08563535911602209,0.5122496258482482,0.38307080474111044
"['Experience_Category_Junior', 'Country_UK']",['Salary_Category_Low'],0.049183514774494556,0.33748055987558323,0.03304821150855365,0.6719367588932805,1.9910384146008264,1.0,0.01644973140580821,2.019486968090089,0.5234969391559526,0.09345794392523363,0.5048247323201394,0.38493151308719326
"['Experience_Category_Junior', 'Education_Category_Bachelor']",['Salary_Category_Low'],0.16329704510108864,0.33748055987558323,0.1088646967340591,0.6666666666666667,1.9754224270353302,1.0,0.05375511852731534,1.9875583203732508,0.5901486988847584,0.27777777777777773,0.49687010954616595,0.4946236559139785
"['Experience_Category_Mid', 'Country_Australia']",['Salary_Category_Medium'],0.054237947122861584,0.3306765163297045,0.035381026438569205,0.6523297491039426,1.9727126569022226,1.0,0.017445811031106616,1.925167545814561,0.5213613724405091,0.10122358175750834,0.480564690499762,0.37966281693880255
"['Job_Group_Management', 'Education_Category_Bachelor', 'Experience_Category_Mid']",['Salary_Category_Medium'],0.05015552099533437,0.3306765163297045,0.03265940902021773,0.6511627906976745,1.969183653938176,1.0,0.016074156062779205,1.9187273198548473,0.51816414244781,0.09380234505862647,0.47882120108882875,0.37496411139821995
"['Experience_Category_Mid', 'Job_Group_Tech']",['Salary_Category_Medium'],0.1535769828926905,0.3306765163297045,0.09875583203732503,0.6430379746835443,1.9446133696485313,1.0,0.04797153034594351,1.8750551492891256,0.5738962091153397,0.25617750882501256,0.4666823531141887,0.47084291444347703
['Experience_Category_Junior'],['Salary_Category_Low'],0.2208398133748056,0.33748055987558323,0.14288491446345256,0.6470070422535211,1.9171683325761015,1.0,0.06835577060290385,1.8768630523225374,0.6139910654880715,0.34394010294805794,0.46719607551411757,0.5351970695138573
"['Experience_Category_Mid', 'Education_Category_Bachelor']",['Salary_Category_Medium'],0.11100311041990668,0.3306765163297045,0.07017884914463453,0.6322241681260946,1.9119112997299417,1.0,0.03347272728921826,1.819922424646375,0.5365183938242836,0.18890633176347463,0.4505260298694832,0.4222261346215423
"['Experience_Category_Mid', 'Education_Category_Bachelor', 'Job_Group_Tech']",['Salary_Category_Medium'],0.054237947122861584,0.3306765163297045,0.03421461897356143,0.6308243727598566,1.9076781737076438,1.0,0.01627940356609884,1.813021863534101,0.503089087171821,0.09756097560975609,0.4484346713554174,0.36714646033642445
"['Job_Group_Management', 'Experience_Category_Senior']",['Salary_Category_High'],0.09836702954898911,0.3318429237947123,0.05929237947122862,0.6027667984189724,1.8164220334312793,1.0,0.026649976780691212,1.682027266467043,0.49850345329742185,0.15985324947589097,0.40547931657468544,0.39072141912747094
"['Experience_Category_Senior', 'Education_Category_Master']",['Salary_Category_High'],0.08164852255054432,0.3318429237947123,0.049183514774494556,0.6023809523809524,1.8152592964543752,1.0,0.02208903032780343,1.6803950419534182,0.48904425471814933,0.1350053361792956,0.40490183853582157,0.37529709599129635
"['Experience_Category_Junior', 'Education_Category_Bachelor', 'Job_Group_Tech']",['Salary_Category_Low'],0.1104199066874028,0.33748055987558323,0.06706842923794712,0.607394366197183,1.799790679561238,1.0,0.029803857307672765,1.6874934618415633,0.49953886693017113,0.17611026033690658,0.4074051114196917,0.4030635425455961
"['Country_China', 'Education_Category_Master']",['Salary_Category_Medium'],0.05443234836702955,0.3306765163297045,0.030326594090202177,0.5571428571428572,1.6848576467624088,1.0,0.012327094756547963,1.511375608287764,0.4298772773279352,0.08547945205479451,0.33835110576324634,0.3244268077601411
"['Experience_Category_Junior', 'Job_Group_Tech']",['Salary_Category_Low'],0.14152410575427682,0.33748055987558323,0.07659409020217729,0.5412087912087913,1.6036739757937915,1.0,0.028832455756332698,1.444054348534657,0.4384885602883837,0.1903381642512077,0.30750528813909106,0.3840836582772067
"['Job_Group_Management', 'Education_Category_Master']",['Salary_Category_Medium'],0.09681181959564542,0.3306765163297045,0.05073872472783826,0.5240963855421686,1.5849216973714964,1.0,0.018725329484410413,1.4064265606236588,0.4086125254204582,0.1346749226006192,0.2889781606822293,0.338767769490661
"['Education_Category_Bachelor', 'Country_Canada']",['Salary_Category_Low'],0.0812597200622084,0.33748055987558323,0.04315707620528771,0.5311004784688995,1.5737216942649879,1.0,0.01573350038336046,1.4129241121020726,0.39680814966468786,0.11490683229813663,0.29224790529460654,0.32949033140034834
"['Education_Category_Bachelor', 'Country_Australia']",['Salary_Category_Low'],0.08709175738724728,0.33748055987558323,0.045878693623639194,0.5267857142857143,1.5609364713627385,1.0,0.01648691858004252,1.4000410810176356,0.39364190223197526,0.12114989733059547,0.2857352448021462,0.3313652073732719
"['Country_USA', 'Education_Category_Master']",['Salary_Category_Medium'],0.05948678071539658,0.3306765163297045,0.030326594090202177,0.5098039215686274,1.5416998074950143,1.0,0.010655712675565789,1.3654199066874027,0.3735888956021242,0.08427876823338736,0.2676245636215566,0.3007573399730262
"['Education_Category_Bachelor', 'Country_UK']",['Salary_Category_Low'],0.08631415241057543,0.33748055987558323,0.04490668740279938,0.5202702702702703,1.5416303400174367,1.0,0.01577733892209196,1.3810264385692068,0.3845261121856866,0.1185223191380195,0.2759009009009009,0.32666739319965127
['Education_Category_Master'],['Salary_Category_Medium'],0.2879082426127527,0.3306765163297045,0.14599533437013998,0.5070898041863606,1.533492035705255,1.0,0.05079083968034752,1.3579014785146681,0.48855161904429545,0.3089263677498972,0.2635695477010279,0.4742974006234566
['Education_Category_Bachelor'],['Salary_Category_Low'],0.43759720062208396,0.33748055987558323,0.22569984447900465,0.5157707685473123,1.5282977150964137,1.0,0.07801929621307585,1.3681938162569378,0.614643502255139,0.410828025477707,0.2691093994739948,0.5922747851953151
"['Job_Group_Tech', 'Education_Category_Master']",['Salary_Category_Medium'],0.16485225505443235,0.3306765163297045,0.08242612752721618,0.5,1.5120517342739566,1.0,0.027913358116720563,1.338646967340591,0.40549348230912474,0.19952941176470587,0.2529770548939878,0.37463256907701353
"['Education_Category_Bachelor', 'Country_USA']",['Salary_Category_Low'],0.0958398133748056,0.33748055987558323,0.04860031104199067,0.5070993914807302,1.5026032660005046,1.0,0.016256237165889864,1.3441238023923354,0.3699436680283809,0.1263264274886306,0.25602091249321485,0.325554304035296
